wavelength,transmission
338.6678580845516, 0.004804922552450019
341.928632115548, 0.004796764498832262
345.1894061465444, 0.0037217143220991122
358.23250227052995, 0.004755974230743698
360.4063516245276, 0.003683643405216541
360.62373655992735, 0.014885466827686322
362.58020097852517, 0.016480910180188824
362.79758591392493, 0.029603139424265956
363.93885682477367, 0.04248300649211734
365.0257815017725, 0.05408273897979066
366.1127061787713, 0.066082556013632
367.19963085577007, 0.07888254213981005
368.0148243635192, 0.0911497620422318
368.0148243635192, 0.06767813533369482
369.101749040518, 0.10368302513763106
369.101749040518, 0.08207845964454563
370.18867371751674, 0.11808334944848209
370.18867371751674, 0.0948784457707238
371.27559839451555, 0.1108791082662478
371.4929833299153, 0.13200302843369005
372.3625230715144, 0.14848433625485713
373.4494477485132, 0.13967975688794976
373.6668326839129, 0.16368428578780325
374.53637242551196, 0.17755170790733776
374.53637242551196, 0.15408008119880068
375.6232971025108, 0.1996870001107749
375.6232971025108, 0.1684804055096517
375.89502827176045, 0.18688361479558957
377.79714645650836, 0.20528274505471866
377.79714645650836, 0.19568071594668068
378.0145313919081, 0.2180849066618613
379.15580230275685, 0.23248509500515202
379.970995810506, 0.24475231490757376
379.970995810506, 0.22128068819903668
381.05792048750476, 0.2356810125098876
381.27530542290447, 0.25584472976652617
382.1448451645035, 0.27168590231382395
383.23176984150234, 0.26448166113158966
383.4491547769021, 0.2856055812990319
384.31869451850116, 0.302086889120199
385.4056191955, 0.31648721343105
385.4056191955, 0.2932823097532917
386.49254387249874, 0.3092829722488155
386.7099288078985, 0.33040689241625776
387.57946854949756, 0.34688820023742495
388.6663932264963, 0.3380836208705176
388.8837781618961, 0.3620881497703712
389.75331790349514, 0.3524839451813686
390.0250490727449, 0.3764883381136619
390.84024258049396, 0.36528393130754666
391.11197374974364, 0.38928832423983994
391.9271672574928, 0.3780839174337246
392.19889842674246, 0.402088310366018
393.01409193449155, 0.39088390355990255
393.2858231037412, 0.41488829649219594
394.1010166114903, 0.4036838896860806
394.37274778074004, 0.4252877753413644
395.4053262238889, 0.44016833707517766
396.5465971347377, 0.45408842396306637
397.63352181173644, 0.46608824099690793
398.7204464887352, 0.478888227123086
399.53563999648435, 0.46608348213229756
399.807371165734, 0.49168821324926393
400.89429584273284, 0.5044881993754419
401.70948935048193, 0.49328379256932664
401.98122051973166, 0.515687847316947
402.79641402748075, 0.5028831023261586
403.88333870447957, 0.5156830884523367
404.15506987372925, 0.526884775907246
405.241994550728, 0.5364840856640781
406.32891922772683, 0.5484839026979196
407.41584390472565, 0.5596835506394245
409.31796208947355, 0.5620792990518237
409.53534702487326, 0.5748814606589665
411.49181144347114, 0.5796775803808147
411.7635426127208, 0.5892789296510512
412.85046728971963, 0.5980780703155468
414.75258547446754, 0.5988734805432729
414.9699704098673, 0.6078348305072006
416.9264348284651, 0.61967243824161
419.31766911786247, 0.6315089582355371
421.27413353646034, 0.6428664645145448
423.66536782585763, 0.6539028154161353
425.6218322444555, 0.6580587998641145
426.92614185685403, 0.6666973628399016
429.75214601705096, 0.6756521863609349
432.36076524184807, 0.6862078919368825
435.4041543374447, 0.6948421039507401
438.6649283684411, 0.7044359750051603
441.9257023994375, 0.7140298460595805
445.1864764304339, 0.7223434465662624
448.44725046143026, 0.730016911799075
451.9254094278264, 0.7376898331616465
454.96879852342306, 0.744723706990831
458.22957255441946, 0.7523971722236438
461.2729616500161, 0.75815077550509
464.75112061641227, 0.7659837306861288
467.7945097120089, 0.7709371648752384
471.0552837430053, 0.7773303595603127
474.3160577740017, 0.783723554245387
477.52248557114814, 0.7899568510795543
481.0549907713943, 0.795869264471425
484.3157648023906, 0.8011422224272282
487.84827000263675, 0.8067345681821645
490.6199279289837, 0.8092881749320662
494.0980868953798, 0.8150406904730301
497.576245861776, 0.8195129354662556
500.40225002197286, 0.8233466767963354
503.880408988369, 0.8266986850602898
507.1411830193654, 0.8301579264067969
510.40195705036183, 0.8322835525994099
513.6627310813583, 0.8354760709151381
516.9235051123546, 0.8354679128615204
520.184279143351, 0.838126985115691
523.4450531743473, 0.838652273123631
526.7058272053438, 0.8397110071931286
529.9666012363402, 0.8407697412626263
533.2273752673366, 0.8418284753321239
536.4881492983329, 0.8418203172785061
539.7489233293294, 0.8418121592248884
543.0096973603258, 0.8418040011712707
546.2704713913222, 0.8417958431176531
549.5312454223185, 0.8428545771871506
552.792019453315, 0.8449802033797635
556.0527934843113, 0.8449720453261459
559.3135675153078, 0.8449638872725282
562.5743415463041, 0.8433553910342375
565.8351155773005, 0.8417468947959468
569.0958896082969, 0.8417387367423291
572.3566636392934, 0.8417305786887114
575.6174376702897, 0.8417224206350937
578.8782117012861, 0.8395804783352453
582.1389857322825, 0.8385054281585123
585.399759763279, 0.8384972701048946
588.6605337942754, 0.8374222199281616
591.9213078252717, 0.8352802776283133
595.182081856268, 0.8352721195746955
598.4428558872645, 0.8336636233364048
600.6167052412621, 0.830457508264647
603.8774792722586, 0.8320496883957023
607.1382533032549, 0.8288408539727387
610.670758503501, 0.8272316778966464
613.6598013652476, 0.8256238614961573
616.9205753962441, 0.8232151961655301
620.4530805964902, 0.8208058509971015
623.4421234582369, 0.8191980345966121
626.7028974892332, 0.816789369265985
629.9636715202297, 0.8159810421200309
633.2244455512262, 0.8127722076970672
636.4852195822225, 0.8103635423664399
640.0177247824686, 0.8079541971980113
643.0067676442152, 0.8063463807975221
646.2675416752116, 0.805271330620789
649.5283157062081, 0.8031293883209407
652.7890897372044, 0.8009874460210923
656.0498637682008, 0.7999123958443592
659.0389066299476, 0.7967042412591971
662.8431429994433, 0.7950943853453034
