wavelength,B,G,R
400,0.5711768755566076,0.07466398571295879,0.09612344889303277
401,0.5858287881801392,0.07239299207976113,0.09235391808891798
402,0.5976725328593052,0.0700172541862253,0.08870247557999321
403,0.6074554513917583,0.0675655025028928,0.08516922459762039
404,0.6159248855751511,0.06506646750030506,0.08175426837316141
405,0.6237464295742754,0.06254887964900356,0.07845771013797823
406,0.6309063072505736,0.06004146941952975,0.07527965312343277
407,0.6372355012666459,0.0575729672824251,0.07222020056088692
408,0.6430813566459421,0.05517210370823105,0.06927945568170264
409,0.6486768172509091,0.052867609167489074,0.06645752171724184
410,0.6538264118832159,0.05068821413074063,0.06375439835271093
411,0.6582907217927062,0.048662643837053536,0.06116874226230998
412,0.6620645144681772,0.04680778786236397,0.058698272581601325
413,0.6653902396553472,0.04510350264103677,0.05634068929265738
414,0.6685222339409691,0.04352242109590044,0.0540936923775505
415,0.6716781397881095,0.042037176149783424,0.05195460492947811
416,0.6749044544868908,0.04062119020154988,0.04991899118326252
417,0.6781978181428433,0.039280152244168684,0.04798190270089651
418,0.6815548650875307,0.03806260178123381,0.04613839098473183
419,0.6849704326754108,0.037020038121407604,0.04438350137168159
420,0.6884327430888926,0.0362039605733524,0.04271159475153404
421,0.6919284966596372,0.03565990103396432,0.04111573460867681
422,0.6954461936240266,0.03537162446057479,0.03958883972054447
423,0.6990160876470269,0.03528638292827785,0.03812382886457163
424,0.7027103843497167,0.03535095372447503,0.036713964074637916
425,0.7066009703802494,0.03551211413668632,0.035358358925774984
426,0.7106523011007321,0.035718636889422985,0.03406102797172302
427,0.7146739041896564,0.03592718322610896,0.03282613703543059
428,0.7184644912261955,0.03609636348423053,0.03165785193984626
429,0.7220249141577325,0.03618478800127396,0.030558793498566834
430,0.7257800962100144,0.036151628903666695,0.029522588586313573
431,0.7302083858160319,0.035996889549950166,0.028539618287906066
432,0.7355336849248661,0.03578833816566926,0.027600259308779317
433,0.7409784601533519,0.035600128741140144,0.02669490367730032
434,0.7455283046378355,0.035506415266679005,0.025818002440226362
435,0.7487273010068904,0.035577228714538736,0.02497349756318424
436,0.7509798850109775,0.03582388685344178,0.024166685387259468
437,0.7527638846241484,0.03621398682583631,0.023402862253537573
438,0.7545571260518502,0.036714083224282,0.022687182893903923
439,0.7567112041966102,0.03729073064133849,0.022021388761783927
440,0.7591088304448323,0.03791745449963465,0.021403718891674174
441,0.7615238710944662,0.038603713929618054,0.020832252877062734
442,0.7637301924434619,0.03937051345035788,0.02030507031143769
443,0.7655033842792428,0.04023886299966272,0.01982061115616508
444,0.7667310943525874,0.041229748381099655,0.019380010887336666
445,0.767479824618191,0.04236003380967732,0.01898562582312612
446,0.7678320821773563,0.043637833978861826,0.01863981831795586
447,0.7678703741313865,0.04507014592931918,0.01834494898426063
448,0.7676750819126082,0.04666396670171541,0.01810117552591999
449,0.7672977209856483,0.04842699194174828,0.01790214395924461
450,0.766768999657048,0.0503817022530315,0.017740302905880547
451,0.7661191666688036,0.052564683727557425,0.017608100987473875
452,0.7653784707629114,0.05501308507414631,0.017498275147678384
453,0.7645729331554367,0.057764055001618436,0.017414342388987092
454,0.7637077555582982,0.06089386723365333,0.017373580443371565
455,0.7627817415215874,0.06475398582870287,0.01739416265787757
456,0.7617936928634643,0.06981395468843746,0.017494262379550853
457,0.7607422914823728,0.07644000826434097,0.017688793656944
458,0.7596098149094523,0.0838341437708335,0.017960286140431495
459,0.7583456077077346,0.09060064448010864,0.018272724215612317
460,0.756895076435375,0.1006455002749657,0.018589873395661483
461,0.7552036276505284,0.11661009066971557,0.01887549922762979
462,0.7532198809102055,0.12741847362475553,0.01910496071507495
463,0.7509524012511792,0.14991510988829912,0.019298016669561824
464,0.7484628406384575,0.17156873615485288,0.01948505318489839
465,0.745814685974176,0.19278321179053637,0.019696456354892627
