wv,Eu,Er,Ho,Tb,Sm,Dy,Tm
222.4,8.17E-07,8.28E-06,-2.56E-05,-1.85E-05,1.04E-05,-8.21E-06,1.91E-06
222.6,-6.25E-07,9.71E-06,-2.55E-05,-1.81E-05,-4.58E-06,-1.53E-05,2.72E-06
222.8,3.27E-06,6.94E-06,-2.64E-05,-2.06E-05,-3.73E-05,-1.95E-05,2.10E-06
223.01,1.09E-06,2.50E-06,-2.65E-05,-2.30E-05,-7.00E-05,-2.38E-05,3.38E-06
223.21,7.07E-07,1.06E-06,-2.20E-05,-2.29E-05,-0.00010271,-2.81E-05,3.62E-06
223.41,4.83E-06,6.58E-06,-2.07E-05,-1.28E-05,-8.19E-05,-3.21E-05,7.84E-06
223.62,4.36E-06,4.34E-06,-1.89E-05,-1.05E-05,-4.57E-05,-3.61E-05,6.24E-06
223.82,8.07E-06,3.38E-06,-2.00E-05,-1.13E-05,-9.52E-06,-4.01E-05,9.25E-06
224.03,1.34E-05,5.36E-07,-2.15E-05,-1.40E-05,2.56E-05,-4.36E-05,7.08E-06
224.23,1.07E-05,2.21E-06,-2.17E-05,-1.20E-05,2.16E-06,-1.96E-05,8.90E-06
224.43,8.93E-06,5.60E-06,-1.53E-05,6.37E-07,-2.13E-05,4.33E-06,1.17E-05
224.64,5.57E-06,9.83E-06,-1.51E-05,2.05E-06,-4.47E-05,2.83E-05,1.30E-05
224.84,2.37E-06,1.15E-05,-1.98E-05,-4.27E-06,-6.01E-05,4.10E-05,1.71E-05
225.04,-5.88E-07,1.07E-05,-1.02E-05,2.74E-06,-5.29E-05,2.18E-05,1.02E-05
225.25,-1.23E-06,-2.68E-05,-1.06E-05,5.50E-06,-4.58E-05,2.68E-06,8.70E-06
225.45,-4.78E-06,-2.81E-05,-5.89E-06,8.64E-06,-3.86E-05,-1.65E-05,3.54E-06
225.66,-1.94E-06,-2.52E-05,-1.35E-05,4.78E-07,-4.18E-05,-2.16E-05,7.04E-06
225.86,-3.71E-06,-2.76E-05,-1.37E-05,-3.18E-06,-5.54E-05,-1.28E-05,3.36E-06
226.06,-9.59E-06,-3.42E-05,-1.05E-05,-8.32E-06,-6.90E-05,-4.00E-06,1.09E-06
226.27,-4.76E-06,-3.15E-05,-1.09E-05,-1.43E-05,-8.26E-05,4.79E-06,1.26E-06
226.47,2.17E-06,-3.84E-05,-1.93E-05,-2.59E-05,-5.95E-05,-1.96E-06,1.78E-06
226.68,6.73E-06,-4.46E-05,-2.92E-05,-3.36E-05,-2.41E-05,-1.40E-05,1.49E-06
226.88,1.15E-05,-3.78E-05,-2.69E-05,-2.89E-05,1.13E-05,-2.59E-05,5.71E-06
227.08,1.59E-05,-3.22E-05,-3.39E-05,-3.34E-05,4.68E-05,-3.79E-05,7.70E-06
227.29,1.40E-05,6.48E-06,-3.20E-05,-3.32E-05,3.56E-05,-3.09E-05,1.01E-05
227.49,2.20E-05,3.73E-06,-3.77E-05,-3.98E-05,2.42E-05,-2.37E-05,1.40E-05
227.7,2.04E-05,9.00E-07,-3.82E-05,-4.34E-05,1.27E-05,-1.65E-05,1.25E-05
227.9,1.96E-05,9.67E-06,-3.75E-05,-4.25E-05,2.78E-06,-6.77E-06,1.60E-05
228.11,2.27E-05,1.31E-05,-3.98E-05,-3.51E-05,-2.28E-06,1.08E-05,2.04E-05
228.31,2.05E-05,1.45E-05,-3.93E-05,-3.21E-05,-7.34E-06,2.84E-05,2.98E-05
228.51,1.65E-05,2.57E-05,-3.34E-05,-1.87E-05,-1.24E-05,4.60E-05,3.09E-05
228.72,2.51E-05,1.89E-05,-3.49E-05,-2.22E-05,-2.40E-05,4.74E-05,2.83E-05
228.92,2.33E-05,9.78E-06,-3.89E-05,-2.54E-05,-4.24E-05,3.20E-05,2.62E-05
229.13,1.96E-05,5.52E-06,-3.33E-05,-2.39E-05,-6.08E-05,1.65E-05,2.68E-05
229.33,2.12E-05,5.52E-06,-3.02E-05,-2.41E-05,-7.92E-05,1.06E-06,2.28E-05
229.53,1.59E-05,2.38E-06,-2.42E-05,-1.75E-05,-6.22E-05,-1.82E-06,2.17E-05
229.74,1.39E-05,5.20E-06,-2.02E-05,-6.80E-06,-3.26E-05,-2.20E-07,1.33E-05
229.94,1.28E-05,-6.68E-06,-1.89E-05,-6.95E-06,-2.96E-06,1.38E-06,9.64E-06
230.15,1.33E-05,-8.57E-07,-1.91E-05,-3.54E-06,2.66E-05,2.98E-06,9.03E-06
