wv,Eu,Er,Ho,Tb,Sm,Dy,Tm
367.06,-3.97E-06,1.22E-06,-1.51E-05,-1.90E-05,0.00011729,8.06E-05,1.44E-05
367.27,-1.90E-06,-2.59E-06,-1.49E-05,-1.87E-05,9.20E-05,8.29E-05,1.26E-05
367.49,3.21E-06,6.60E-07,-1.81E-05,-1.33E-05,0.00011498,7.98E-05,1.72E-05
367.7,2.27E-06,-9.40E-07,-1.92E-05,-1.17E-05,0.00013798,7.67E-05,2.21E-05
367.92,3.48E-06,-6.62E-07,-1.72E-05,-1.16E-05,0.00016098,7.36E-05,2.13E-05
368.13,-1.20E-06,7.29E-07,-2.79E-05,-2.55E-05,0.00016081,7.64E-05,2.63E-05
368.35,-2.65E-06,2.57E-06,-2.51E-05,-2.78E-05,0.00013529,8.57E-05,2.63E-05
368.56,-1.25E-06,1.13E-05,-3.13E-05,-3.53E-05,0.00010976,9.49E-05,3.06E-05
368.78,-1.04E-06,9.94E-06,-3.51E-05,-3.76E-05,8.42E-05,0.00010419,2.65E-05
368.99,-2.43E-06,1.04E-05,-3.71E-05,-3.77E-05,6.61E-05,0.00010654,3.14E-05
369.21,-6.93E-07,5.99E-06,-3.23E-05,-3.10E-05,4.87E-05,0.00010822,2.79E-05
369.42,-1.36E-06,1.35E-05,-3.53E-05,-3.34E-05,3.13E-05,0.0001099,3.20E-05
369.64,-1.47E-06,5.06E-06,-2.69E-05,-2.91E-05,2.63E-05,0.00011002,2.57E-05
369.85,-3.70E-06,5.97E-06,-2.36E-05,-2.82E-05,4.42E-05,0.00010722,2.27E-05
370.07,-1.66E-06,9.17E-06,-3.04E-05,-3.35E-05,6.22E-05,0.00010441,2.63E-05
370.28,-1.44E-06,5.84E-06,-2.29E-05,-2.55E-05,8.01E-05,0.0001016,2.01E-05
370.5,-2.24E-06,6.15E-06,-2.35E-05,-2.22E-05,8.47E-05,0.00010034,1.95E-05
370.71,-6.57E-06,-3.49E-06,-1.45E-05,-1.26E-05,8.55E-05,9.95E-05,1.34E-05
370.93,-9.46E-06,-5.76E-06,-1.02E-05,-1.53E-05,8.63E-05,9.87E-05,1.59E-05
371.14,-1.18E-05,-3.31E-06,-5.79E-06,-1.32E-05,8.79E-05,9.73E-05,1.21E-05
371.36,-8.94E-06,1.83E-06,-1.33E-05,-2.39E-05,9.18E-05,9.42E-05,5.50E-06
371.57,-1.11E-05,-1.20E-07,-1.52E-05,-2.75E-05,9.57E-05,9.11E-05,3.31E-06
371.79,-1.24E-05,1.02E-05,-2.03E-05,-3.13E-05,9.97E-05,8.80E-05,9.22E-06
372,-1.29E-05,1.14E-05,-1.87E-05,-2.60E-05,0.00011364,8.63E-05,9.26E-06
372.22,-1.62E-05,1.38E-05,-1.56E-05,-1.81E-05,0.00013273,8.51E-05,7.49E-06
372.43,-2.11E-05,1.72E-05,-1.06E-05,-1.58E-05,0.00015183,8.40E-05,6.04E-06
372.65,-1.75E-05,1.75E-05,-1.42E-05,-2.44E-05,0.00016937,8.33E-05,4.91E-06
372.86,-1.47E-05,1.78E-05,-1.36E-05,-2.50E-05,0.00017302,8.64E-05,4.00E-06
373.08,-7.85E-06,2.36E-05,-1.80E-05,-2.62E-05,0.00017667,8.95E-05,7.80E-06
373.29,-5.13E-06,1.39E-05,-1.73E-05,-2.75E-05,0.00018032,9.26E-05,6.51E-06
373.51,-1.04E-05,1.29E-05,-1.20E-05,-1.96E-05,0.00018474,0.00010191,1.50E-05
373.72,-1.38E-05,1.20E-05,-7.86E-06,-1.26E-05,0.00018979,0.00011652,1.49E-05
373.94,-1.12E-05,9.73E-06,-6.02E-06,-1.12E-05,0.00019485,0.00013114,1.44E-05
374.15,-9.72E-06,1.16E-05,-3.07E-06,-1.17E-05,0.00019991,0.00014575,1.19E-05
374.37,-7.73E-06,4.46E-06,3.94E-07,-8.21E-06,0.00017928,0.00013495,1.07E-05
374.58,-3.77E-06,2.15E-06,1.22E-06,-5.07E-06,0.0001582,0.00012371,9.62E-06
374.8,-4.49E-06,3.50E-06,-2.49E-06,-5.02E-06,0.00013712,0.00011246,1.29E-05
375.02,-5.48E-06,2.15E-06,-2.54E-06,-1.30E-06,0.0001293,0.00010672,1.61E-05
375.23,-8.79E-06,-5.53E-06,1.43E-06,4.76E-06,0.00013942,0.0001084,9.20E-06
375.45,-6.89E-06,4.84E-06,-1.33E-06,9.36E-06,0.00014954,0.00011009,1.28E-05
375.66,-6.20E-06,5.92E-06,2.68E-06,1.14E-05,0.00015966,0.00011178,1.17E-05
375.88,-3.15E-06,6.40E-06,2.09E-06,1.19E-05,0.00014172,0.00010077,1.08E-05
376.09,-4.70E-06,1.28E-05,2.76E-06,1.31E-05,0.0001195,8.78E-05,9.26E-06
376.31,-2.78E-06,1.61E-05,-4.18E-06,1.86E-06,9.73E-05,7.49E-05,1.21E-05
376.52,-1.54E-06,2.34E-05,-7.82E-06,2.90E-06,8.36E-05,7.11E-05,1.47E-05
376.74,1.85E-07,3.16E-05,-6.39E-06,5.47E-06,8.86E-05,8.74E-05,1.61E-05
376.95,7.58E-07,4.29E-05,-8.69E-07,1.60E-05,9.37E-05,0.00010371,1.41E-05
377.17,3.90E-06,5.38E-05,-2.58E-07,1.64E-05,9.88E-05,0.00012003,1.42E-05
377.39,6.99E-06,6.72E-05,-2.39E-06,2.40E-05,9.77E-05,0.00011165,1.87E-05
377.6,2.32E-06,7.37E-05,1.77E-06,2.39E-05,9.46E-05,9.53E-05,1.69E-05
377.82,1.10E-06,8.55E-05,-3.20E-06,2.39E-05,9.15E-05,7.90E-05,2.04E-05
378.03,2.44E-06,8.26E-05,-7.43E-06,2.45E-05,9.28E-05,6.84E-05,2.30E-05
378.25,2.69E-06,8.48E-05,-8.51E-06,3.00E-05,0.00011133,8.05E-05,2.53E-05
378.46,-1.77E-07,8.92E-05,-3.84E-06,4.53E-05,0.0001299,9.26E-05,2.15E-05
378.68,-2.89E-06,9.39E-05,-1.47E-06,5.21E-05,0.00014847,0.00010475,2.05E-05
378.89,8.54E-07,9.48E-05,-5.36E-06,5.46E-05,0.0001634,0.00010845,2.42E-05
379.11,-4.13E-06,8.32E-05,-3.50E-06,6.54E-05,0.00017634,0.00010761,2.42E-05
379.33,-5.34E-06,8.67E-05,-3.89E-06,7.32E-05,0.00018929,0.00010676,2.60E-05
379.54,-5.46E-06,8.54E-05,-6.11E-06,7.51E-05,0.00019997,0.00010762,2.73E-05
379.76,-4.55E-06,8.00E-05,-1.20E-05,8.36E-05,0.00018927,0.00012451,2.90E-05
379.97,-1.14E-06,7.61E-05,-1.02E-05,9.28E-05,0.00017857,0.00014141,2.83E-05
380.19,-2.73E-07,8.61E-05,-8.31E-06,0.00010923,0.00016787,0.0001583,3.11E-05
380.4,1.33E-06,8.01E-05,-6.89E-06,0.00011894,0.00016484,0.00016171,2.97E-05
380.62,2.41E-06,7.66E-05,-5.90E-06,0.00012851,0.00016822,0.00015382,3.05E-05
380.83,3.89E-06,8.01E-05,-6.44E-06,0.00012874,0.00017159,0.00014594,3.14E-05
381.05,-1.85E-06,8.10E-05,-5.87E-06,0.00013686,0.00017497,0.00013805,3.09E-05
381.27,3.92E-06,8.88E-05,-1.17E-05,0.00013585,0.00018311,0.00013576,3.65E-05
381.48,4.51E-06,9.29E-05,-1.03E-05,0.00013905,0.00019128,0.00013351,3.36E-05
381.7,-3.61E-07,9.29E-05,-1.49E-05,0.00013415,0.00019945,0.00013125,3.32E-05
381.91,4.51E-06,9.22E-05,-1.72E-05,0.0001273,0.00019239,0.00011839,3.50E-05
382.13,-1.99E-07,8.52E-05,-1.41E-05,0.0001267,0.00016618,9.22E-05,3.09E-05
382.35,2.33E-06,8.78E-05,-1.01E-05,0.00012619,0.00013998,6.60E-05,2.61E-05
382.56,1.72E-06,1.00E-04,-1.20E-05,0.00012215,0.00011378,3.98E-05,3.09E-05
382.78,2.39E-07,0.0001049,-1.16E-05,0.00011494,0.00011704,5.99E-05,3.60E-05
382.99,1.29E-06,9.83E-05,-1.20E-05,0.00011386,0.00012381,8.56E-05,3.46E-05
383.21,1.67E-06,9.78E-05,-8.79E-06,0.0001078,0.00013057,0.00011121,3.32E-05
383.42,-1.98E-06,9.88E-05,-2.69E-07,0.00010184,0.00013597,0.00012975,2.79E-05
383.64,-3.70E-06,9.04E-05,-1.08E-05,8.71E-05,0.00013879,0.00013483,3.50E-05
383.86,-4.17E-07,8.26E-05,-7.16E-06,7.11E-05,0.00014161,0.0001399,3.59E-05
384.07,-9.02E-06,7.39E-05,2.10E-06,7.18E-05,0.00014443,0.00014498,3.15E-05
384.29,-6.03E-06,7.39E-05,-2.44E-06,6.32E-05,0.00013105,0.0001325,3.49E-05
384.5,-1.17E-05,6.11E-05,-9.44E-07,5.08E-05,0.00011357,0.00011558,3.72E-05
384.72,-1.26E-05,4.16E-05,-1.28E-05,3.29E-05,9.61E-05,9.87E-05,3.88E-05
384.94,-9.29E-06,4.08E-05,-1.22E-05,3.56E-05,8.72E-05,9.12E-05,4.05E-05
385.15,-1.26E-05,3.50E-05,-1.05E-05,2.63E-05,0.00010382,0.00011212,4.45E-05
385.37,-1.27E-05,3.36E-05,-1.16E-05,2.16E-05,0.00012046,0.00013299,5.03E-05
385.58,-9.90E-06,2.36E-05,-1.27E-05,2.31E-05,0.0001371,0.00015386,5.18E-05
385.8,-1.10E-05,1.99E-05,-6.83E-07,2.94E-05,0.00014538,0.00016438,4.63E-05
386.02,-8.48E-06,2.98E-05,5.12E-06,4.62E-05,0.00015018,0.00017058,4.82E-05
386.23,-3.97E-06,4.90E-06,5.57E-06,4.60E-05,0.00015497,0.00017679,5.16E-05
386.45,-4.38E-06,4.95E-06,1.60E-05,4.60E-05,0.00015637,0.00017887,5.42E-05
386.66,-3.34E-07,7.90E-06,1.42E-05,4.24E-05,0.00014,0.0001594,5.59E-05
386.88,2.48E-06,1.49E-05,2.90E-05,5.31E-05,0.00012364,0.00013994,5.53E-05
387.1,1.29E-06,5.93E-06,3.30E-05,4.81E-05,0.00010727,0.00012046,5.38E-05
387.31,-1.36E-06,9.30E-06,3.62E-05,5.24E-05,0.00010587,0.00011491,5.15E-05
387.53,-1.77E-06,-1.16E-06,3.86E-05,4.85E-05,0.00011377,0.00011802,4.73E-05
387.75,-1.71E-06,2.79E-06,3.77E-05,4.65E-05,0.00012168,0.00012112,5.09E-05
387.96,-8.82E-07,-1.43E-06,4.04E-05,3.94E-05,0.00013051,0.00012448,4.93E-05
388.18,-3.84E-06,-1.39E-05,4.15E-05,3.03E-05,0.00015112,0.00013097,4.83E-05
388.39,-1.15E-06,1.33E-05,4.06E-05,1.92E-05,0.00017173,0.00013746,4.84E-05
388.61,5.91E-08,9.71E-06,3.43E-05,1.64E-05,0.00019233,0.00014396,5.17E-05
388.83,-3.33E-06,2.22E-06,3.95E-05,2.44E-05,0.0002035,0.0001434,5.14E-05
389.04,-5.23E-06,1.20E-06,4.25E-05,1.76E-05,0.00020632,0.00013663,4.96E-05
389.26,-6.33E-06,1.34E-06,4.19E-05,1.27E-05,0.00020914,0.00012985,5.71E-05
389.48,2.02E-06,-3.55E-06,3.03E-05,-4.07E-06,0.00021197,0.00012307,6.14E-05
389.69,-9.10E-07,-4.47E-06,3.23E-05,-1.00E-06,0.00023044,0.00011238,6.15E-05
389.91,-4.12E-06,-7.68E-06,3.28E-05,-6.66E-06,0.00024908,0.00010165,5.89E-05
390.12,1.22E-06,-6.51E-07,2.09E-05,-8.37E-06,0.00026772,9.09E-05,6.30E-05
390.34,1.27E-06,-1.51E-07,1.93E-05,-7.34E-06,0.00027178,9.63E-05,6.08E-05
390.56,-2.41E-06,3.36E-06,2.06E-05,-1.36E-06,0.00025794,0.00012142,6.18E-05
390.77,-6.14E-08,5.23E-06,2.10E-05,-2.87E-06,0.0002441,0.00014657,5.84E-05
390.99,5.11E-06,7.85E-06,1.34E-05,-1.26E-05,0.00023026,0.00017171,6.21E-05
391.21,7.05E-06,1.30E-05,9.85E-06,-1.05E-05,0.00021847,0.00016963,6.50E-05
391.42,8.26E-06,1.18E-05,3.13E-06,-1.45E-05,0.00020688,0.00016483,5.81E-05
391.64,3.15E-06,1.61E-05,1.16E-05,-6.19E-06,0.0001953,0.00016003,5.77E-05
391.86,4.02E-06,1.84E-05,6.14E-06,-1.35E-05,0.00020253,0.00015595,6.08E-05
392.07,5.51E-06,2.50E-05,1.12E-06,-1.75E-05,0.00024181,0.00015313,0.00011221
392.29,3.19E-06,1.54E-05,8.45E-06,-1.26E-05,0.0002811,0.0001503,0.0001091
392.51,8.88E-07,2.20E-05,3.03E-06,-1.63E-05,0.00032039,0.00014748,0.00011944
392.72,2.99E-06,3.02E-05,-5.39E-06,-2.32E-05,0.00029502,0.00014676,0.00012
392.94,-1.04E-06,2.91E-05,-6.68E-06,-2.28E-05,0.00025657,0.00014648,0.00011857
393.16,-5.17E-06,2.98E-05,-1.11E-06,-1.94E-05,0.00021812,0.0001462,0.00011482
393.37,-1.26E-05,2.64E-05,-5.52E-06,-2.89E-05,0.00019233,0.00014758,0.00011454
393.59,-9.47E-06,2.84E-05,-9.30E-06,-3.77E-05,0.00019685,0.00015295,0.00011685
393.8,-7.42E-06,2.83E-05,-1.32E-05,-4.17E-05,0.00020138,0.00015833,0.00011876
394.02,-4.82E-06,3.15E-05,-1.02E-05,-3.81E-05,0.0002059,0.0001637,0.00011504
394.24,-5.85E-06,2.12E-05,-5.81E-06,-3.63E-05,0.00025502,0.00016243,6.54E-05
394.45,-9.28E-06,2.81E-05,-9.52E-06,-3.94E-05,0.00031837,0.00015903,7.10E-05
394.67,-8.29E-06,3.47E-05,-8.09E-06,-3.96E-05,0.00038173,0.00015564,6.69E-05
394.89,-8.98E-06,2.27E-05,-4.23E-06,-3.37E-05,0.00041835,0.0001591,6.75E-05
395.1,-9.94E-06,2.25E-05,-3.05E-06,-3.33E-05,0.00036149,0.00018654,7.00E-05
395.32,-1.23E-05,2.17E-05,-9.73E-06,-3.74E-05,0.00030462,0.00021399,6.86E-05
395.54,-1.14E-05,1.87E-05,-8.58E-06,-3.19E-05,0.00024776,0.00024143,6.76E-05
395.76,-1.71E-05,2.05E-05,-6.78E-06,-2.41E-05,0.00023622,0.00024222,6.48E-05
395.97,-1.70E-05,1.58E-05,-6.16E-06,-1.85E-05,0.00024528,0.0002309,6.25E-05
396.19,-1.52E-05,1.30E-05,-7.43E-06,-1.81E-05,0.00025433,0.00021958,6.40E-05
396.41,-1.15E-05,1.85E-05,-7.25E-06,-1.41E-05,0.00026574,0.00020991,6.40E-05
396.62,-8.62E-06,2.06E-05,-3.13E-06,-1.19E-05,0.00029007,0.00020935,6.15E-05
396.84,-4.24E-06,1.27E-05,-7.57E-07,-5.82E-06,0.00031441,0.00020878,6.22E-05
397.06,-1.61E-06,1.76E-05,-1.69E-06,-5.61E-06,0.00033876,0.00020821,6.26E-05
397.27,1.61E-06,2.58E-05,-4.57E-06,-8.30E-06,0.00032112,0.00020326,6.41E-05
397.49,1.35E-05,3.20E-05,-8.23E-06,-2.19E-05,0.00027781,0.00019561,7.25E-05
397.71,1.86E-05,3.29E-05,-9.46E-06,-1.89E-05,0.00023449,0.00018797,7.67E-05
397.92,1.98E-05,3.19E-05,-4.75E-06,-9.61E-06,0.00019582,0.0001807,7.66E-05
398.14,2.18E-05,3.79E-05,-2.36E-06,-8.39E-06,0.00020517,0.0001773,7.34E-05
398.36,2.26E-05,2.02E-05,-3.34E-06,-1.02E-05,0.00021451,0.0001739,0.00010302
398.57,2.46E-05,2.63E-05,-8.15E-06,-1.55E-05,0.00022385,0.00017051,0.00010747
398.79,2.26E-05,3.00E-05,-9.91E-06,-1.75E-05,0.00022027,0.00017515,0.00010917
399.01,1.82E-05,3.77E-05,-9.13E-06,-2.08E-05,0.00020639,0.0001862,0.00010394
399.22,2.18E-05,4.82E-05,-1.06E-05,-2.67E-05,0.00019251,0.00019724,0.00010537
399.44,2.15E-05,5.57E-05,-8.47E-06,-2.35E-05,0.00017923,0.00020794,0.00010502
399.66,1.46E-05,5.92E-05,-1.21E-06,-1.28E-05,0.0001883,0.00020567,9.82E-05
399.88,1.22E-05,6.56E-05,4.93E-06,-5.61E-06,0.00019737,0.00020341,9.25E-05
400.09,1.21E-05,8.03E-05,2.33E-06,-1.32E-05,0.00020643,0.00020114,9.48E-05
400.31,7.17E-06,9.01E-05,4.43E-06,-1.23E-05,0.00020931,0.00021083,9.84E-05
400.53,3.78E-06,0.00011929,8.68E-06,-9.02E-06,0.00020591,0.00023265,6.96E-05
400.74,1.39E-06,0.00012019,1.37E-05,-6.61E-06,0.00020251,0.00025447,6.72E-05
400.96,5.95E-06,0.00012257,1.12E-05,-7.18E-06,0.00019911,0.00027629,6.69E-05
401.18,6.85E-06,0.00012503,1.24E-05,-5.74E-06,0.00020859,0.0002674,7.03E-05
401.4,-5.76E-06,0.00011785,1.80E-05,-2.83E-06,0.00021851,0.00025748,6.73E-05
401.61,-6.98E-06,0.00011247,1.88E-05,-4.30E-06,0.00022843,0.00024756,6.75E-05
401.83,-8.63E-06,0.00010956,1.93E-05,5.77E-07,0.00025542,0.00023303,6.84E-05
402.05,-6.88E-06,0.00010826,2.05E-05,-3.53E-06,0.00030417,0.00021262,7.06E-05
402.26,-7.56E-06,0.00010765,1.54E-05,-1.26E-05,0.00035294,0.00019221,7.59E-05
402.48,-1.33E-06,0.00010518,1.52E-05,-1.12E-05,0.0004017,0.0001718,7.76E-05
402.7,2.30E-06,0.0001018,7.21E-06,-1.79E-05,0.00037651,0.00019431,7.97E-05
402.92,-1.38E-06,0.0001088,6.56E-06,-1.54E-05,0.00034419,0.00022096,8.07E-05
403.13,-4.43E-06,0.00011637,7.66E-06,-1.32E-05,0.00031186,0.00024762,8.57E-05
403.35,-3.82E-06,0.00012924,4.49E-06,-1.88E-05,0.00029375,0.00026105,8.64E-05
403.57,3.94E-06,0.0001459,4.15E-07,-1.64E-05,0.00029828,0.00025339,8.77E-05
403.78,4.30E-06,0.00016825,3.05E-06,-9.01E-06,0.00030282,0.00024573,8.72E-05
404,6.51E-06,0.00019547,3.85E-06,-7.62E-06,0.00030736,0.00023807,7.97E-05
404.22,5.13E-06,0.00021836,2.27E-06,-1.27E-05,0.00030263,0.00024066,7.88E-05
404.44,9.80E-06,0.00023701,7.29E-06,-1.25E-06,0.00029639,0.00024491,7.30E-05
404.65,3.86E-06,0.0002716,8.77E-06,-1.92E-07,0.00029015,0.00024917,6.05E-05
404.87,4.76E-06,0.00030443,1.10E-05,2.15E-06,0.00028894,0.00025105,6.13E-05
405.09,6.46E-06,0.00033231,1.37E-05,-5.43E-07,0.00029774,0.00024821,5.84E-05
405.31,5.51E-06,0.00036109,1.67E-05,-3.55E-06,0.00030654,0.00024537,5.41E-05
405.52,3.93E-06,0.0003781,1.74E-05,6.42E-06,0.00031533,0.00024254,5.21E-05
405.74,5.26E-06,0.00040338,1.88E-05,2.32E-06,0.00031792,0.0002443,5.71E-05
405.96,1.07E-05,0.00041709,8.07E-06,-1.64E-05,0.00031905,0.00024714,6.36E-05
406.18,1.30E-05,0.0004225,8.33E-06,-1.37E-05,0.00032019,0.00024998,7.24E-05
406.39,1.69E-05,0.00044955,-9.53E-08,-2.49E-05,0.0003134,0.00025118,8.03E-05
406.61,1.42E-05,0.00047607,2.72E-05,2.47E-05,0.000287,0.00024834,4.57E-05
406.83,1.36E-05,0.00049447,2.98E-05,2.52E-05,0.00026059,0.00024551,5.48E-05
407.04,1.39E-05,0.00052863,3.49E-05,3.04E-05,0.00023419,0.00024267,5.40E-05
407.26,1.68E-05,0.00055816,3.63E-05,4.11E-05,0.00025516,0.00023526,5.76E-05
407.48,1.76E-05,0.00058376,3.57E-05,4.54E-05,0.00029066,0.00022646,5.74E-05
407.7,2.32E-05,0.00060846,4.09E-05,4.77E-05,0.00032616,0.00021766,6.04E-05
407.92,2.24E-05,0.00061627,4.08E-05,5.41E-05,0.00034579,0.0002137,5.86E-05
408.13,1.64E-05,0.00062995,5.06E-05,7.50E-05,0.00031625,0.00022478,5.45E-05
408.35,9.32E-06,0.00064149,5.05E-05,7.82E-05,0.00028671,0.00023586,5.38E-05
408.57,4.46E-06,0.00063663,6.10E-05,0.00010113,0.00025717,0.00024693,4.68E-05
408.79,3.79E-06,0.00062076,4.22E-05,7.08E-05,0.00024653,0.00024651,8.01E-05
409,4.42E-06,0.00060776,4.03E-05,8.05E-05,0.00024312,0.00024168,7.14E-05
409.22,-7.91E-07,0.00058413,3.63E-05,8.74E-05,0.00023971,0.00023685,7.28E-05
409.44,-3.62E-06,0.00055995,3.08E-05,8.32E-05,0.00024289,0.00023346,7.72E-05
409.66,2.30E-07,0.00053971,2.77E-05,8.57E-05,0.00027187,0.00023574,8.13E-05
409.87,-1.15E-06,0.00052364,2.49E-05,8.78E-05,0.00030085,0.00023801,7.90E-05
410.09,-1.67E-06,0.00052479,2.16E-05,9.82E-05,0.00032984,0.00024028,8.16E-05
410.31,2.65E-06,0.00052008,1.70E-05,0.00010202,0.00033861,0.00025092,8.01E-05
410.53,1.04E-05,0.00052077,1.30E-05,0.00010247,0.00033804,0.00026541,8.01E-05
410.74,1.40E-05,0.00052638,1.12E-05,0.00011111,0.00033747,0.00027991,8.10E-05
410.96,1.84E-05,0.00054127,7.03E-06,0.00010782,0.00033737,0.00029228,8.33E-05
411.18,2.87E-05,0.000541,-3.29E-06,0.0001001,0.00033965,0.00029399,9.89E-05
411.4,3.05E-05,0.00053548,-8.66E-06,0.00010095,0.00034192,0.00029569,9.77E-05
411.62,3.35E-05,0.00052751,-7.22E-06,0.00011411,0.0003442,0.0002974,9.56E-05
411.83,3.32E-05,0.00050857,-3.12E-06,0.00012644,0.00032674,0.00029284,9.37E-05
412.05,3.08E-05,0.00049513,-1.39E-06,0.00013443,0.00029859,0.00028488,9.41E-05
412.27,2.93E-05,0.00046961,3.03E-06,0.00014511,0.00027044,0.00027691,8.77E-05
412.49,2.79E-05,0.00044411,1.32E-06,0.00015436,0.00025124,0.00026918,9.15E-05
412.7,2.37E-05,0.00041458,2.69E-06,0.00016492,0.00029106,0.00026292,9.36E-05
412.92,2.37E-05,0.00038636,2.30E-06,0.00017565,0.00033088,0.00025666,9.74E-05
413.14,1.77E-05,0.00035404,1.03E-06,0.00017929,0.00037069,0.0002504,0.00010071
413.36,7.61E-06,0.00031746,7.43E-06,0.00019553,0.0003881,0.0002529,9.84E-05
413.58,7.35E-06,0.00028472,1.29E-05,0.00020737,0.00039151,0.00026087,9.11E-05
413.79,3.18E-06,0.00025929,1.51E-05,0.00021244,0.00039492,0.00026884,8.88E-05
414.01,3.77E-06,0.00023671,1.28E-05,0.00022184,0.00039613,0.00027388,9.19E-05
414.23,6.81E-06,0.00021006,9.41E-06,0.00022669,0.00037764,0.00025282,9.25E-05
414.45,6.70E-06,0.00018524,1.05E-05,0.00022798,0.00035914,0.00023176,9.60E-05
414.67,-1.31E-06,0.00016245,1.88E-05,0.00023922,0.00034064,0.00021071,9.23E-05
414.88,-6.96E-07,0.00014598,2.25E-05,0.00024885,0.00033082,0.00021669,8.27E-05
415.1,-2.75E-06,0.0001236,2.71E-05,0.00025063,0.00032712,0.00024174,8.02E-05
415.32,1.81E-06,0.00010127,3.06E-05,0.00025824,0.00032342,0.00026678,7.54E-05
415.54,1.37E-06,9.32E-05,3.53E-05,0.00026345,0.00031845,0.0002885,6.34E-05
415.76,2.94E-06,8.54E-05,3.24E-05,0.00026061,0.00029739,0.000268,7.23E-05
415.97,6.50E-06,7.44E-05,3.08E-05,0.00025173,0.00027632,0.00024751,7.33E-05
416.19,-1.24E-06,7.25E-05,3.27E-05,0.00023933,0.00025526,0.00022701,7.11E-05
416.41,-1.28E-06,6.15E-05,3.40E-05,0.0002256,0.00027839,0.00022917,7.40E-05
416.63,6.40E-06,6.15E-05,3.52E-05,0.000209,0.00033619,0.0002491,7.57E-05
416.85,1.53E-05,5.76E-05,3.16E-05,0.00018398,0.000394,0.00026904,8.08E-05
417.06,1.52E-05,5.80E-05,3.03E-05,0.00015578,0.00044545,0.00028785,9.27E-05
417.28,1.81E-05,5.13E-05,2.03E-05,0.00012169,0.00037254,0.00028471,9.63E-05
417.5,1.48E-05,4.42E-05,2.09E-05,0.00010212,0.00029962,0.00028158,0.00010452
417.72,2.15E-05,4.02E-05,2.11E-05,8.00E-05,0.00022671,0.00027845,0.00011572
417.94,2.09E-05,4.13E-05,2.90E-05,6.52E-05,0.00021781,0.00027363,0.00011658
418.16,2.07E-05,4.64E-05,3.35E-05,5.67E-05,0.00026395,0.00026736,0.00011751
418.37,2.33E-05,4.35E-05,3.44E-05,4.67E-05,0.00031011,0.0002611,0.00011383
418.59,2.08E-05,3.94E-05,3.44E-05,3.54E-05,0.00035556,0.00025506,0.00011195
418.81,1.49E-05,3.69E-05,2.80E-05,3.06E-05,0.00037607,0.00025734,0.00011375
419.03,9.81E-06,4.19E-05,3.09E-05,2.50E-05,0.00039659,0.00025962,0.00010971
419.25,9.88E-06,3.66E-05,2.89E-05,2.63E-05,0.00041711,0.0002619,0.00011021
419.47,4.88E-06,3.59E-05,3.86E-05,3.47E-05,0.0004202,0.00026802,0.0001054
419.68,4.59E-06,3.64E-05,3.30E-05,2.16E-05,0.00040709,0.00027771,9.84E-05
419.9,1.42E-06,3.68E-05,2.92E-05,1.94E-05,0.00039398,0.0002874,9.85E-05
420.12,-1.39E-06,3.07E-05,2.79E-05,1.54E-05,0.00038131,0.00029683,9.62E-05
420.34,-9.91E-07,2.75E-05,2.33E-05,1.34E-05,0.00041495,0.00027887,9.54E-05
420.56,-1.78E-06,2.40E-05,2.56E-05,8.53E-06,0.00044858,0.00026091,9.58E-05
420.78,-2.61E-06,3.29E-05,2.91E-05,1.49E-05,0.00048222,0.00024295,9.76E-05
420.99,-2.81E-06,3.29E-05,3.36E-05,1.04E-05,0.00048698,0.00024458,9.59E-05
421.21,3.54E-07,2.49E-05,3.13E-05,1.29E-05,0.00046303,0.00026568,9.57E-05
421.43,-4.59E-06,2.60E-05,3.49E-05,1.22E-05,0.00043908,0.00028678,9.41E-05
421.65,-4.11E-06,1.84E-05,3.23E-05,1.19E-05,0.00041512,0.00030788,9.17E-05
421.87,-1.22E-06,2.24E-05,3.64E-05,2.06E-05,0.00039004,0.00030346,9.55E-05
422.09,-7.08E-06,2.46E-05,4.02E-05,2.58E-05,0.00036494,0.0002989,9.66E-05
422.3,-8.74E-06,2.15E-05,4.17E-05,3.02E-05,0.00033984,0.00029434,9.55E-05
422.52,-1.16E-05,1.72E-05,4.01E-05,2.23E-05,0.00032491,0.00029548,9.58E-05
422.74,-8.84E-06,1.88E-05,3.73E-05,2.71E-05,0.00032063,0.00030261,0.00010361
422.96,-1.01E-05,1.37E-05,3.00E-05,2.28E-05,0.00031635,0.00030975,0.00010197
423.18,-1.45E-05,1.06E-05,3.29E-05,2.99E-05,0.00031207,0.00031688,9.93E-05
423.4,-1.34E-05,1.32E-05,2.89E-05,3.18E-05,0.00034705,0.00030158,0.00010039
423.62,-9.07E-06,1.71E-05,2.99E-05,3.60E-05,0.00038271,0.00028588,9.93E-05
423.83,-5.95E-06,3.02E-05,3.15E-05,4.30E-05,0.00041838,0.00027019,0.00010623
424.05,-1.10E-05,2.87E-05,3.18E-05,4.14E-05,0.00042744,0.00026009,0.0001027
424.27,1.26E-07,3.14E-05,2.46E-05,2.91E-05,0.00040746,0.00025609,0.00010593
424.49,3.52E-06,4.37E-05,2.14E-05,2.66E-05,0.00038749,0.0002521,0.0001603
424.71,3.55E-06,4.68E-05,2.56E-05,3.20E-05,0.00036751,0.0002481,0.00015773
424.93,2.64E-06,4.16E-05,2.01E-05,2.38E-05,0.00037701,0.00026191,0.00015617
